,ChildID,ChildEthnicity,ChildLanguage,ChildRace,ChildFlags,ChildDateofBirth,Age (as of current day),Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Center,Total Attendance,Total Absence,Total Days,Attendance Rate
0,18578,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Preschool'],12/28/2004,17,0,102.0,0,0,0,102.0,0,['FH'],102.0,0,102.0,1.0
1,22717,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],01/13/2008,14,0,245.0,2,1,0,248.0,0,['FH'],245.0,3,248.0,0.9879032258064516
2,25173,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],01/06/2007,15,0,242.0,2,4,0,248.0,0,['FH'],242.0,6,248.0,0.9758064516129032
3,30829,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],11/19/2010,11,0,246.0,2,0,0,248.0,0,['FH'],246.0,2,248.0,0.9919354838709677
4,31583,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],05/22/2010,12,3,232.0,1,10,0,246.0,0,['Linda Vista'],232.0,14,246.0,0.943089430894309
5,35649,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],11/30/2007,14,9,195.0,1,41,0,246.0,0,['Linda Vista'],195.0,51,246.0,0.7926829268292683
6,37814,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'School Age']",09/22/2009,13,8,200.0,21,17,0,246.0,0,['Linda Vista'],200.0,46,246.0,0.8130081300813008
7,37815,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #15 (check box if Yes)', 'School Age', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)']",01/01/2012,10,8,198.0,21,19,0,246.0,0,['Linda Vista'],198.0,48,246.0,0.8048780487804879
8,38533,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/17/2008,13,12,197.0,15,21,1,246.0,0,['Linda Vista'],197.0,49,246.0,0.8008130081300813
9,38884,Hispanic or Latino,00 -- English,['Caucasian'],['Infant/Toddler'],10/07/2012,10,0,27.0,5,1,0,33.0,0,['Valley Medical Center'],27.0,6,33.0,0.8181818181818182
10,39723,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/04/2013,9,0,0.0,3,0,0,3.0,0,['Decoto'],0.0,3,3.0,0.0
11,40274,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/05/2013,9,2,39.0,0,2,0,43.0,0,['Paul Miller'],39.0,4,43.0,0.9069767441860465
12,40328,Not Hispanic or Latino,00 -- English,['Caucasian'],[nan],05/06/2013,9,1,40.0,0,0,0,41.0,0,['Paul Miller'],40.0,1,41.0,0.975609756097561
13,40448,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],05/07/2013,9,0,9.0,0,12,0,0.0,21,['Meyer'],9.0,12,21.0,0.42857142857142855
14,40481,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,7,213.0,1,25,0,246.0,0,['Linda Vista'],213.0,33,246.0,0.8658536585365854
15,40604,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],01/25/2009,13,13,208.0,1,19,5,246.0,0,['Linda Vista'],208.0,38,246.0,0.8455284552845529
16,40605,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],10/12/2010,12,13,206.0,1,21,5,246.0,0,['Linda Vista'],206.0,40,246.0,0.8373983739837398
17,40639,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],02/15/2013,9,0,39.0,0,2,0,41.0,0,['Paul Miller'],39.0,2,41.0,0.9512195121951219
