,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD
0,1/10/2019,Amador,0,74,0,9,5,56,32
1,1/10/2019,Arbuckle,2,71,2,12,0,55,32
2,1/10/2019,Baldwin Park,1,66,1,10,0,46,32
3,1/10/2019,Bay,0,39,0,9,0,0,48
4,1/10/2019,Carlson,0,30,2,0,0,20,12
5,1/10/2019,Castlemont,0,64,2,2,1,69,0
6,1/10/2019,Cesar Chavez,4,78,2,10,0,0,94
7,1/10/2019,Chynoweth,0,32,0,4,0,36,0
8,1/10/2019,Colonial Acres,0,43,0,4,0,0,47
9,1/10/2019,Corvallis,2,39,1,6,0,0,48
10,1/10/2019,Cox,2,37,0,9,0,0,48
11,1/10/2019,Cureton,0,52,0,11,0,0,63
12,1/10/2019,Dayton,1,44,0,3,0,0,48
13,1/10/2019,Decoto,3,81,1,11,1,61,36
14,1/10/2019,Del Rey,0,39,0,6,0,0,45
15,1/10/2019,Delaine Eastin,0,26,2,1,0,22,7
16,1/10/2019,Dorsa,0,42,0,6,0,0,48
17,1/10/2019,Eden Palms,0,37,0,7,1,45,0
18,1/10/2019,Eden Youth,1,66,1,10,0,48,30
19,1/10/2019,Educare,0,69,0,8,0,51,26
20,1/10/2019,Emerald Vista,5,56,3,15,0,31,48
21,1/10/2019,Esther Hobbs,0,44,1,3,0,48,0
22,1/10/2019,FH,0,101,0,2,0,103,0
23,1/10/2019,Foxdale,0,34,2,3,0,39,0
24,1/10/2019,Glen Berry,0,28,0,4,0,24,8
25,1/10/2019,Goss,0,39,0,5,0,0,44
26,1/10/2019,Graham,2,48,1,5,0,24,32
27,1/10/2019,Grant,2,38,0,6,0,0,46
28,1/10/2019,Guy Emanuele,2,30,2,5,0,0,39
29,1/10/2019,Hesperian,0,43,0,5,0,0,48
30,1/10/2019,Hillview,0,41,0,6,1,0,48
31,1/10/2019,Holbrook,1,73,1,5,0,48,32
32,1/10/2019,Hubbard,2,50,0,6,0,0,58
33,1/10/2019,Kitayama,1,38,0,4,0,0,43
34,1/10/2019,Linda Vista,1,92,0,13,1,76,31
35,1/10/2019,Logan,0,45,0,2,0,47,0
36,1/10/2019,Marie Kaiser,0,22,0,1,0,23,0
37,1/10/2019,Meadowfair,0,41,0,6,1,0,48
38,1/10/2019,Meyer,0,40,0,3,1,0,44
39,1/10/2019,Paul Miller,0,76,4,4,0,42,42
40,1/10/2019,Pioneer,1,37,1,3,0,0,42
41,1/10/2019,Reach,1,19,0,2,0,22,0
42,1/10/2019,Royal Sunset,1,34,1,10,0,0,46
43,1/10/2019,Russo,1,40,0,3,0,0,44
44,1/10/2019,Ryan,0,19,0,4,0,23,0
