,ChildID,ChildEthnicity,ChildLanguage,ChildRace,ChildFlags,ChildDateofBirth,Age (as of current day),Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Center,Total Attendance,Total Absence,Total Days,Attendance Rate
0,22717,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],01/13/2008,14,0,174,61,1,0,236.0,0,['FH'],174,62,236,0.7372881355932204
1,25173,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],01/06/2007,15,9,157,61,9,0,236.0,0,['FH'],157,79,236,0.6652542372881356
2,30829,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],11/19/2010,11,0,174,61,1,0,236.0,0,['FH'],174,62,236,0.7372881355932204
3,31583,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],05/22/2010,12,0,203,40,3,0,246.0,0,['Linda Vista'],203,43,246,0.8252032520325203
4,35649,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],11/30/2007,14,0,27,0,8,0,35.0,0,['Linda Vista'],27,8,35,0.7714285714285715
5,37814,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'School Age']",09/22/2009,13,1,148,79,18,0,246.0,0,['Linda Vista'],148,98,246,0.6016260162601627
6,37815,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #15 (check box if Yes)', 'School Age', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)']",01/01/2012,10,1,152,79,14,0,246.0,0,['Linda Vista'],152,94,246,0.6178861788617886
7,38533,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/17/2008,13,3,142,77,24,0,246.0,0,['Linda Vista'],142,104,246,0.5772357723577236
8,40481,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,4,152,65,25,0,246.0,0,['Linda Vista'],152,94,246,0.6178861788617886
9,40604,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],01/25/2009,13,9,200,26,11,0,246.0,0,['Linda Vista'],200,46,246,0.8130081300813008
10,40605,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],10/12/2010,12,9,201,25,11,0,246.0,0,['Linda Vista'],201,45,246,0.8170731707317073
11,40966,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],11/29/2008,13,1,164,77,4,0,246.0,0,['Linda Vista'],164,82,246,0.6666666666666666
12,40967,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/07/2012,9,3,151,77,15,0,246.0,0,['Linda Vista'],151,95,246,0.6138211382113821
13,41176,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/22/2010,12,5,164,65,12,0,246.0,0,['Linda Vista'],164,82,246,0.6666666666666666
14,41445,Hispanic or Latino,00 -- English,['Caucasian'],[nan],10/06/2009,13,3,154,76,13,0,246.0,0,['Linda Vista'],154,92,246,0.6260162601626016
15,41446,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,3,158,76,9,0,246.0,0,['Linda Vista'],158,88,246,0.6422764227642277
16,41560,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/17/2010,12,4,169,65,7,1,246.0,0,['Linda Vista'],169,77,246,0.6869918699186992
17,42239,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],12/23/2009,12,0,175,61,0,0,236.0,0,['FH'],175,61,236,0.7415254237288136
18,43077,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Admissions Agreement #14 (check box if Yes)'],02/07/2014,8,2,17,0,1,0,0.0,20,['Dayton'],17,3,20,0.85
19,43153,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],01/15/2014,8,19,21,0,2,0,42.0,0,['Paul Miller'],21,21,42,0.5
20,43175,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Preschool', 'Limited English']",12/20/2010,11,0,197,34,5,0,236.0,0,['FH'],197,39,236,0.8347457627118644
21,43176,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Infant/Toddler', 'Limited English']",06/14/2012,10,0,197,34,5,0,236.0,0,['FH'],197,39,236,0.8347457627118644
22,43192,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],11/19/2013,8,0,19,13,0,0,32.0,0,['Paul Miller'],19,13,32,0.59375
23,43597,Not Hispanic or Latino,00 -- English,['Black or African American'],['Inactive:  Head Start Alameda County'],09/28/2013,9,0,39,0,0,0,39.0,0,['Eden Youth'],39,0,39,1.0
24,43865,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/25/2013,9,29,11,0,4,0,44.0,0,['Washington Hospital'],11,33,44,0.25
25,44384,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],03/15/2014,8,9,1,0,12,0,0.0,22,['Goss'],1,21,22,0.045454545454545456
26,44631,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],02/26/2014,8,5,29,8,0,0,42.0,0,['Decoto'],29,13,42,0.6904761904761905
27,44662,Hispanic or Latino,00 -- English,['Caucasian'],"['School Age', 'Emergency Care']",08/17/2011,11,17,180,44,5,0,246.0,0,['Linda Vista'],180,66,246,0.7317073170731707
28,44753,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],06/23/2010,12,4,147,77,18,0,246.0,0,['Linda Vista'],147,99,246,0.5975609756097561
29,44840,Hispanic or Latino,00 -- English,['Caucasian'],[nan],05/25/2014,8,1,17,0,2,0,0.0,20,['Corvallis'],17,3,20,0.85
30,45165,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],04/09/2014,8,2,21,0,0,0,23.0,0,['Graham'],21,2,23,0.9130434782608695
31,45631,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/28/2013,8,10,0,0,12,0,0.0,22,['Goss'],0,22,22,0.0
