,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Total Attendance,Total Absence,Total,Attendance Rate
0,1/10/2019,Amador,0,74,0,9,5,56,32,74,14,88,0.8409090909090909
1,1/10/2019,Arbuckle,2,71,2,12,0,55,32,71,16,87,0.8160919540229885
2,1/10/2019,Baldwin Park,1,66,1,10,0,46,32,66,12,78,0.8461538461538461
3,1/10/2019,Bay,0,39,0,9,0,0,48,39,9,48,0.8125
4,1/10/2019,Carlson,0,30,2,0,0,20,12,30,2,32,0.9375
5,1/10/2019,Castlemont,0,64,2,2,1,69,0,64,5,69,0.927536231884058
6,1/10/2019,Cesar Chavez,4,78,2,10,0,0,94,78,16,94,0.8297872340425532
7,1/10/2019,Chynoweth,0,32,0,4,0,36,0,32,4,36,0.8888888888888888
8,1/10/2019,Colonial Acres,0,43,0,4,0,0,47,43,4,47,0.9148936170212766
9,1/10/2019,Corvallis,2,39,1,6,0,0,48,39,9,48,0.8125
10,1/10/2019,Cox,2,37,0,9,0,0,48,37,11,48,0.7708333333333334
11,1/10/2019,Cureton,0,52,0,11,0,0,63,52,11,63,0.8253968253968254
12,1/10/2019,Dayton,1,44,0,3,0,0,48,44,4,48,0.9166666666666666
13,1/10/2019,Decoto,3,81,1,11,1,61,36,81,16,97,0.8350515463917526
14,1/10/2019,Del Rey,0,39,0,6,0,0,45,39,6,45,0.8666666666666667
15,1/10/2019,Delaine Eastin,0,26,2,1,0,22,7,26,3,29,0.896551724137931
16,1/10/2019,Dorsa,0,42,0,6,0,0,48,42,6,48,0.875
17,1/10/2019,Eden Palms,0,37,0,7,1,45,0,37,8,45,0.8222222222222222
18,1/10/2019,Eden Youth,1,66,1,10,0,48,30,66,12,78,0.8461538461538461
19,1/10/2019,Educare,0,69,0,8,0,51,26,69,8,77,0.8961038961038961
20,1/10/2019,Emerald Vista,5,56,3,15,0,31,48,56,23,79,0.7088607594936709
21,1/10/2019,Esther Hobbs,0,44,1,3,0,48,0,44,4,48,0.9166666666666666
22,1/10/2019,FH,0,101,0,2,0,103,0,101,2,103,0.9805825242718447
23,1/10/2019,Foxdale,0,34,2,3,0,39,0,34,5,39,0.8717948717948718
24,1/10/2019,Glen Berry,0,28,0,4,0,24,8,28,4,32,0.875
25,1/10/2019,Goss,0,39,0,5,0,0,44,39,5,44,0.8863636363636364
26,1/10/2019,Graham,2,48,1,5,0,24,32,48,8,56,0.8571428571428571
27,1/10/2019,Grant,2,38,0,6,0,0,46,38,8,46,0.8260869565217391
28,1/10/2019,Guy Emanuele,2,30,2,5,0,0,39,30,9,39,0.7692307692307693
29,1/10/2019,Hesperian,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
30,1/10/2019,Hillview,0,41,0,6,1,0,48,41,7,48,0.8541666666666666
31,1/10/2019,Holbrook,1,73,1,5,0,48,32,73,7,80,0.9125
32,1/10/2019,Hubbard,2,50,0,6,0,0,58,50,8,58,0.8620689655172413
33,1/10/2019,Kitayama,1,38,0,4,0,0,43,38,5,43,0.8837209302325582
34,1/10/2019,Linda Vista,1,92,0,13,1,76,31,92,15,107,0.8598130841121495
35,1/10/2019,Logan,0,45,0,2,0,47,0,45,2,47,0.9574468085106383
36,1/10/2019,Marie Kaiser,0,22,0,1,0,23,0,22,1,23,0.9565217391304348
37,1/10/2019,Meadowfair,0,41,0,6,1,0,48,41,7,48,0.8541666666666666
38,1/10/2019,Meyer,0,40,0,3,1,0,44,40,4,44,0.9090909090909091
39,1/10/2019,Paul Miller,0,76,4,4,0,42,42,76,8,84,0.9047619047619048
40,1/10/2019,Pioneer,1,37,1,3,0,0,42,37,5,42,0.8809523809523809
41,1/10/2019,Reach,1,19,0,2,0,22,0,19,3,22,0.8636363636363636
42,1/10/2019,Royal Sunset,1,34,1,10,0,0,46,34,12,46,0.7391304347826086
43,1/10/2019,Russo,1,40,0,3,0,0,44,40,4,44,0.9090909090909091
44,1/10/2019,Ryan,0,19,0,4,0,23,0,19,4,23,0.8260869565217391
45,1/10/2019,Schilling,0,47,2,5,0,23,31,47,7,54,0.8703703703703703
46,1/10/2019,Searles,0,41,1,2,0,0,44,41,3,44,0.9318181818181818
47,1/10/2019,Sharon Jones,0,48,1,7,0,24,32,48,8,56,0.8571428571428571
48,1/10/2019,Unidos,1,38,2,5,0,46,0,38,8,46,0.8260869565217391
49,1/10/2019,Valley Medical Center,0,59,1,4,0,64,0,59,5,64,0.921875
50,1/10/2019,Washington Hospital,0,59,1,0,0,60,0,59,1,60,0.9833333333333333
51,1/11/2019,Amador,0,65,1,17,3,56,30,65,21,86,0.7558139534883721
52,1/11/2019,Arbuckle,2,69,2,12,0,53,32,69,16,85,0.8117647058823529
53,1/11/2019,Baldwin Park,0,63,0,13,2,46,32,63,15,78,0.8076923076923077
54,1/11/2019,Bay,0,36,0,12,0,0,48,36,12,48,0.75
55,1/11/2019,Carlson,0,30,2,0,0,20,12,30,2,32,0.9375
56,1/11/2019,Castlemont,0,60,1,7,1,69,0,60,9,69,0.8695652173913043
57,1/11/2019,Cesar Chavez,4,74,2,14,0,0,94,74,20,94,0.7872340425531915
58,1/11/2019,Chynoweth,0,29,0,5,0,34,0,29,5,34,0.8529411764705882
59,1/11/2019,Colonial Acres,1,40,0,6,0,0,47,40,7,47,0.851063829787234
60,1/11/2019,Corvallis,2,41,1,4,0,0,48,41,7,48,0.8541666666666666
61,1/11/2019,Cox,2,34,0,12,0,0,48,34,14,48,0.7083333333333334
62,1/11/2019,Cureton,0,54,0,9,0,0,63,54,9,63,0.8571428571428571
63,1/11/2019,Dayton,0,42,0,6,0,0,48,42,6,48,0.875
64,1/11/2019,Decoto,4,82,1,7,2,61,35,82,14,96,0.8541666666666666
65,1/11/2019,Del Rey,0,38,0,7,0,0,45,38,7,45,0.8444444444444444
66,1/11/2019,Delaine Eastin,0,26,2,1,0,22,7,26,3,29,0.896551724137931
67,1/11/2019,Dorsa,1,41,0,6,0,0,48,41,7,48,0.8541666666666666
68,1/11/2019,Eden Palms,0,38,0,3,0,41,0,38,3,41,0.926829268292683
69,1/11/2019,Eden Youth,2,59,1,16,0,48,30,59,19,78,0.7564102564102564
70,1/11/2019,Educare,1,57,0,19,0,51,26,57,20,77,0.7402597402597403
71,1/11/2019,Emerald Vista,2,62,3,10,0,29,48,62,15,77,0.8051948051948052
72,1/11/2019,Esther Hobbs,0,50,1,3,0,54,0,50,4,54,0.9259259259259259
73,1/11/2019,FH,0,97,0,3,0,100,0,97,3,100,0.97
74,1/11/2019,Foxdale,2,32,2,5,0,41,0,32,9,41,0.7804878048780488
75,1/11/2019,Glen Berry,0,25,0,4,0,21,8,25,4,29,0.8620689655172413
76,1/11/2019,Goss,0,34,0,9,1,0,44,34,10,44,0.7727272727272727
77,1/11/2019,Graham,3,45,1,7,0,24,32,45,11,56,0.8035714285714286
78,1/11/2019,Grant,2,38,0,5,0,0,45,38,7,45,0.8444444444444444
79,1/11/2019,Guy Emanuele,1,30,2,6,0,0,39,30,9,39,0.7692307692307693
80,1/11/2019,Hesperian,2,37,0,8,1,0,48,37,11,48,0.7708333333333334
81,1/11/2019,Hillview,0,41,0,7,0,0,48,41,7,48,0.8541666666666666
82,1/11/2019,Holbrook,1,69,1,6,2,47,32,69,10,79,0.8734177215189873
83,1/11/2019,Hubbard,2,45,0,11,0,0,58,45,13,58,0.7758620689655172
84,1/11/2019,Kitayama,0,36,1,6,0,0,43,36,7,43,0.8372093023255814
85,1/11/2019,Linda Vista,1,96,1,7,1,75,31,96,10,106,0.9056603773584906
86,1/11/2019,Logan,0,46,0,1,0,47,0,46,1,47,0.9787234042553191
87,1/11/2019,Marie Kaiser,0,19,0,4,0,23,0,19,4,23,0.8260869565217391
88,1/11/2019,Meadowfair,0,40,0,6,2,0,48,40,8,48,0.8333333333333334
89,1/11/2019,Meyer,0,41,0,2,1,0,44,41,3,44,0.9318181818181818
90,1/11/2019,Paul Miller,1,74,2,7,0,42,42,74,10,84,0.8809523809523809
91,1/11/2019,Pioneer,1,36,1,4,0,0,42,36,6,42,0.8571428571428571
92,1/11/2019,Reach,1,18,1,1,0,21,0,18,3,21,0.8571428571428571
93,1/11/2019,Royal Sunset,1,26,1,18,0,0,46,26,20,46,0.5652173913043478
94,1/11/2019,Russo,1,41,0,2,0,0,44,41,3,44,0.9318181818181818
95,1/11/2019,Ryan,0,22,0,2,0,24,0,22,2,24,0.9166666666666666
96,1/11/2019,Schilling,0,46,2,7,0,24,31,46,9,55,0.8363636363636363
97,1/11/2019,Searles,0,37,1,6,0,0,44,37,7,44,0.8409090909090909
98,1/11/2019,Sharon Jones,0,46,1,8,1,24,32,46,10,56,0.8214285714285714
99,1/11/2019,Unidos,1,38,2,5,0,46,0,38,8,46,0.8260869565217391
100,1/11/2019,Valley Medical Center,0,54,2,8,0,64,0,54,10,64,0.84375
101,1/11/2019,Washington Hospital,0,56,2,1,0,59,0,56,3,59,0.9491525423728814
102,1/14/2019,Amador,1,71,0,10,4,56,30,71,15,86,0.8255813953488372
103,1/14/2019,Arbuckle,0,47,1,6,0,54,0,47,7,54,0.8703703703703703
104,1/14/2019,Baldwin Park,0,64,0,9,1,42,32,64,10,74,0.8648648648648649
105,1/14/2019,Bay,0,42,0,6,0,0,48,42,6,48,0.875
106,1/14/2019,Carlson,0,29,0,2,0,19,12,29,2,31,0.9354838709677419
107,1/14/2019,Castlemont,0,57,1,9,0,67,0,57,10,67,0.8507462686567164
108,1/14/2019,Cesar Chavez,3,73,3,15,1,0,95,73,22,95,0.7684210526315789
109,1/14/2019,Chynoweth,0,31,0,4,1,36,0,31,5,36,0.8611111111111112
110,1/14/2019,Colonial Acres,0,41,0,6,0,0,47,41,6,47,0.8723404255319149
111,1/14/2019,Corvallis,0,44,0,4,0,0,48,44,4,48,0.9166666666666666
112,1/14/2019,Cox,1,38,0,9,0,0,48,38,10,48,0.7916666666666666
113,1/14/2019,Cureton,0,24,0,8,0,0,32,24,8,32,0.75
114,1/14/2019,Dayton,0,44,0,4,0,0,48,44,4,48,0.9166666666666666
